1 66	2.1449101282656257e-05 0.0007451564828614009
8 1 66 39	0.09950248756218906 0.0029806259314456036
8 6 71 12	0.051094890510948905 0.0022354694485842027
8 6 71 40	0.01437699680511182 0.0014903129657228018
8 8 8 12	0.5098457888493476 0.007451564828614009
8 8 8 39	0.12539184952978055 0.0007451564828614009
8 8 8 40	0.5561859732072498 0.005961251862891207
8 8 12	0.6226415094339622 0.021609538002980627
8 8 39	0.13953488372093023 0.0022354694485842027
8 8 39 27	0.0019880715705765406 0.0007451564828614009
8 8 40	0.5694444444444444 0.004470938897168405
8 8 73 12	0.5267489711934157 0.00819672131147541
8 8 73 39	0.12539184952978055 0.0007451564828614009
8 8 73 40	0.5024903941938238 0.005961251862891207
8 10 75 12	0.16666666666666666 0.0014903129657228018
8 10 75 40	0.019230769230769232 0.0007451564828614009
8 12	0.36363636363636365 0.0029806259314456036
8 12 77 12	0.32432432432432434 0.004470938897168405
8 12 104 39	0.4816149963950973 0.0014903129657228018
8 12 105 12	0.3793103448275862 0.0037257824143070045
8 12 105 40	0.4966442953020134 0.0029806259314456036
8 16 81 12	0.17073170731707318 0.005216095380029807
8 16 81 39	0.015503875968992248 0.0014903129657228018
8 16 81 40	0.034055727554179564 0.0037257824143070045
8 20	0.06666666666666667 0.0007451564828614009
8 20 85 12	0.06921241050119331 0.0067064083457526085
8 20 85 20	0.15500574596092748 0.0007451564828614009
8 20 85 39	0.0166333998669328 0.004470938897168405
8 20 85 40	0.01591723040191007 0.004470938897168405
8 20 92 27	0.015299026425591099 0.0014903129657228018
8 20 95 27	0.0007444060077943687 0.0007451564828614009
8 24 89 12	0.02142857142857143 0.0022354694485842027
8 24 89 39	0.006666666666666667 0.0022354694485842027
8 24 89 40	0.00891089108910891 0.0022354694485842027
8 35 100 39	0.0771696504688832 0.005216095380029807
8 35 100 40	0.041066447157817716 0.0029806259314456036
8 37 111 12	0.05084745762711865 0.0022354694485842027
8 37 111 39	0.010101010101010102 0.0007451564828614009
8 37 111 40	0.003205128205128205 0.0014903129657228018
8 40	0.47058823529411764 0.005961251862891207
8 40 27 92	0.391304347826087 0.0014903129657228018
8 40 77 12	0.426917510853835 0.007451564828614009
8 40 77 39	0.23076923076923078 0.0037257824143070045
8 40 77 40	0.3793103448275862 0.005216095380029807
8 40 93 28	0.5876777251184834 0.004470938897168405
8 40 99 34	0.4166666666666667 0.0014903129657228018
8 40 104 12	0.26666666666666666 0.004470938897168405
8 40 104 39	0.6289140572951366 0.005216095380029807
8 40 104 40	0.19890664423885618 0.004470938897168405
8 40 105 12	0.37662337662337664 0.009687034277198211
8 40 105 39	0.32650273224043713 0.005216095380029807
8 40 105 40	0.5927367055771725 0.005961251862891207
8 40 117 52	0.5934065934065934 0.0029806259314456036
8 40 118 53	0.6190476190476191 0.004470938897168405
8 40 122 57	0.4444444444444444 0.0014903129657228018
8 40 126 61	0.33624454148471616 0.004470938897168405
8 45 110 12	0.022608695652173914 0.004470938897168405
8 45 110 39	0.028634361233480177 0.0022354694485842027
8 45 110 40	0.015529411764705882 0.0029806259314456036
8 46 111 12	0.014300411522633744 0.014903129657228018
8 46 111 39	0.012452418188792823 0.013412816691505217
8 46 111 40	0.006868334398191379 0.014903129657228018
8 46 111 53	0.02022058823529412 0.0014903129657228018
8 49 114 12	0.1 0.0007451564828614009
8 50 50 12	0.5 0.0007451564828614009
8 51 116 39	0.012618296529968454 0.0037257824143070045
8 67 2 12	0.12 0.0022354694485842027
8 67 2 40	0.030927835051546393 0.0022354694485842027
8 73 8 12	0.5438351379671673 0.00819672131147541
8 73 8 39	0.1318447634237108 0.0007451564828614009
8 73 8 40	0.6111773117254529 0.005961251862891207
8 73 12	0.6508620689655172 0.02459016393442623
8 73 20 95	0.0013408951024355931 0.0022354694485842027
8 73 39	0.13953488372093023 0.0022354694485842027
8 73 40	0.5352564102564102 0.005216095380029807
8 73 50 12	1.0 0.0014903129657228018
8 73 57	0.25 0.0007451564828614009
8 73 73 12	0.5438351379671673 0.00819672131147541
8 73 73 39	0.1318447634237108 0.0007451564828614009
8 73 73 40	0.6111773117254529 0.005961251862891207
8 73 115 12	1.0 0.0014903129657228018
8 115 12	1.0 0.0007451564828614009
8 123 58 12	0.9047619047619048 0.00894187779433681
10 1 66 12	0.025 0.0007451564828614009
10 1 66 39	0.061855670103092786 0.0007451564828614009
10 1 66 40	0.0647887323943662 0.0007451564828614009
10 6 71 12	0.030695770804911322 0.01639344262295082
10 6 71 28	0.045454545454545456 0.005961251862891207
10 6 71 39	0.012358946802794197 0.0067064083457526085
10 6 71 40	0.01229914699464392 0.013412816691505217
10 6 71 53	0.025943396226415096 0.0067064083457526085
10 14 12	0.6666666666666666 0.0014903129657228018
10 14 40	0.07692307692307693 0.0007451564828614009
10 14 109 12	0.25 0.0007451564828614009
10 14 109 53	0.5 0.0007451564828614009
10 28	0.11864406779661017 0.004470938897168405
10 28 27 27	0.3333333333333333 0.0014903129657228018
10 28 30 34	0.09230769230769231 0.0014903129657228018
10 28 77 12	0.1031390134529148 0.0067064083457526085
10 28 77 39	0.07258064516129033 0.0022354694485842027
10 28 77 40	0.02356902356902357 0.005216095380029807
10 28 92 92	0.3 0.0014903129657228018
10 28 93 28	0.10328638497652583 0.004470938897168405
10 28 99 117	0.04285714285714286 0.0014903129657228018
10 28 104 39	0.11143955069464972 0.004470938897168405
10 28 104 40	0.0408306112925805 0.010432190760059613
10 28 105 12	0.04044117647058824 0.005216095380029807
10 28 105 39	0.06376594148537135 0.007451564828614009
10 28 105 40	0.12080315997366689 0.004470938897168405
10 28 105 53	0.06 0.0014903129657228018
10 28 118 53	0.12536443148688048 0.0037257824143070045
10 28 121 56	0.09090909090909091 0.0014903129657228018
10 28 122 12	0.11538461538461539 0.0014903129657228018
10 28 126 61	0.06921427178787289 0.005961251862891207
10 32 75 12	0.033928571428571426 0.009687034277198211
10 32 75 40	0.007112375533428165 0.00819672131147541
10 32 75 53	0.02091633466135458 0.00819672131147541
10 32 97 28	0.04203152364273205 0.00894187779433681
10 32 97 53	0.06470588235294118 0.005216095380029807
10 33 75 12	0.05357142857142857 0.0022354694485842027
10 33 75 53	0.047619047619047616 0.0029806259314456036
10 33 97 28	0.06766917293233082 0.0022354694485842027
10 33 97 53	0.07142857142857142 0.0007451564828614009
10 46 111 12	0.021505376344086023 0.0007451564828614009
10 53	0.07142857142857142 0.0007451564828614009
10 53 52 34	0.075 0.0007451564828614009
10 53 52 117	0.05454545454545454 0.0007451564828614009
10 53 77 12	0.06365313653136531 0.0007451564828614009
10 53 104 39	0.09292274446245273 0.0007451564828614009
10 53 104 40	0.03350515463917526 0.0014903129657228018
10 53 105 39	0.04766107678729038 0.0022354694485842027
10 53 105 40	0.08483393357342937 0.0007451564828614009
10 53 122 57	0.1 0.0007451564828614009
10 53 126 61	0.05738522954091816 0.0014903129657228018
10 58 12	1.0 0.0007451564828614009
10 75 8 12	0.36363636363636365 0.0022354694485842027
10 75 8 40	0.02112676056338028 0.0022354694485842027
10 75 10 28	0.07017543859649122 0.014903129657228018
10 75 10 53	0.08481901674770394 0.0037257824143070045
10 75 12	0.23243801652892562 0.06482861400894188
10 75 12 117	0.002380952380952381 0.0014903129657228018
10 75 20 18	3.137352066811119e-06 0.0014903129657228018
10 75 20 34	0.020508613617719443 0.005216095380029807
10 75 20 95	0.00017619169656586366 0.005961251862891207
10 75 23 40	0.024844720496894408 0.0029806259314456036
10 75 33 53	0.10526315789473684 0.0014903129657228018
10 75 39	0.022058823529411766 0.009687034277198211
10 75 39 52	0.007168458781362007 0.0007451564828614009
10 75 40	0.029612756264236904 0.028315946348733235
10 75 40 27	0.0011467889908256881 0.0007451564828614009
10 75 44 12	0.022222222222222223 0.0014903129657228018
10 75 44 39	0.053763440860215055 0.0029806259314456036
10 75 45 53	0.0972972972972973 0.0067064083457526085
10 75 50 12	0.09836065573770492 0.0007451564828614009
10 75 50 40	0.07272727272727272 0.0022354694485842027
10 75 53	0.03682170542635659 0.011177347242921014
10 75 67 61	0.01455026455026455 0.005961251862891207
10 75 73 12	0.36363636363636365 0.0022354694485842027
10 75 79 28	0.06818181818181818 0.0022354694485842027
10 75 79 53	0.16666666666666666 0.0007451564828614009
10 75 98 12	0.08 0.004470938897168405
10 75 109 12	0.08148148148148149 0.0029806259314456036
10 75 109 53	0.05263157894736842 0.0014903129657228018
10 75 110 12	0.13953488372093023 0.004470938897168405
10 75 110 40	0.020833333333333332 0.0037257824143070045
10 75 115 12	0.07058823529411765 0.0007451564828614009
10 75 115 40	0.05128205128205128 0.0022354694485842027
10 75 123 40	0.09836065573770492 0.0007451564828614009
10 97 14 12	0.045454545454545456 0.0007451564828614009
10 97 14 40	0.04918032786885246 0.0022354694485842027
10 97 32 28	0.018912529550827423 0.0022354694485842027
10 97 53	0.05714285714285714 0.0014903129657228018
10 97 75 12	0.02695035460992908 0.007451564828614009
10 97 75 40	0.010884353741496598 0.005961251862891207
10 97 75 53	0.01405152224824356 0.0022354694485842027
12	1.0 1.0
12 1 66	0.025853154084798345 0.0067064083457526085
12 3 68 30	1.0 0.013412816691505217
12 15 80	0.01079822146940504 0.10730253353204174
12 15 80 18	0.01950990580268848 0.03502235469448584
12 15 80 27	0.003989991208493947 0.04918032786885246
12 15 80 30	0.16289889651058753 0.01788375558867362
12 15 80 34	0.11617046117921774 0.04992548435171386
12 15 80 92	0.0037721324095458045 0.04769001490312966
12 15 80 95	0.0018923298319565784 0.07153502235469449
12 15 80 117	0.009932130441979804 0.020864381520119227
12 15 100 12	0.12182061579651941 0.09612518628912071
12 15 100 20	0.09189575361368552 0.040238450074515646
12 15 100 39	0.1570812512834554 0.08345752608047691
12 15 100 40	0.07326699038826609 0.08271236959761549
12 15 100 57	0.0018058470398750548 0.02533532041728763
12 15 103 28	0.4198473282442748 0.038002980625931444
12 15 103 61	0.5714285714285714 0.0067064083457526085
12 18	0.006719609040928528 0.011922503725782414
12 18 18	0.03818642774034009 0.07153502235469449
12 18 18 18	0.06099073740370037 0.07228017883755589
12 18 18 27	0.022603790358106828 0.05737704918032787
12 18 18 83	0.059039357113578494 0.07078986587183309
12 18 18 92	0.023238784900044867 0.05737704918032787
12 18 18 95	6.562795433657676e-05 0.0067064083457526085
12 18 19 84	0.010521432939043162 0.02459016393442623
12 18 27	0.030901383311021866 0.05663189269746647
12 18 27 18	0.03317809459361166 0.06482861400894188
12 18 27 27	0.033517677450642096 0.05812220566318927
12 18 27 83	0.03594531294147356 0.06482861400894188
12 18 27 92	0.03122234332932748 0.05588673621460507
12 18 33 98	0.03425443169968717 0.028315946348733235
12 18 45 110	0.014081121395070575 0.07078986587183309
12 18 77 12	0.02943620178041543 0.041728763040238454
12 18 77 20	0.049953095684803 0.03427719821162444
12 18 83	0.03798431648426538 0.07078986587183309
12 18 83 18	0.053491347428028115 0.07228017883755589
12 18 83 27	0.028184959885468354 0.05737704918032787
12 18 83 34	0.0024830897929931104 0.0067064083457526085
12 18 83 83	0.05172268007070605 0.07078986587183309
12 18 83 92	0.02891079595753209 0.05737704918032787
12 18 83 95	6.0416631069496795e-05 0.0067064083457526085
12 18 85 20	0.0160978903353431 0.06408345752608048
12 18 85 40	0.0036969689153695034 0.05961251862891207
12 18 86 21	0.05503728108201838 0.05141579731743666
12 18 92	0.03002763605442177 0.05663189269746647
12 18 92 18	0.031885592512479216 0.06482861400894188
12 18 92 27	0.03176751555578139 0.06035767511177347
12 18 92 83	0.03339704140540714 0.06482861400894188
12 18 92 92	0.02972995683090529 0.05365126676602087
12 18 95 30	0.010730292440967964 0.04918032786885246
12 18 126 21	0.0792499162852997 0.043219076005961254
12 18 126 61	0.015077271013946476 0.04694485842026826
12 19 84	0.041035856573705176 0.030551415797317436
12 19 84 18	0.04024706643878986 0.02608047690014903
12 19 84 27	0.02509293680297398 0.02608047690014903
12 19 84 33	0.015665796344647518 0.013412816691505217
12 19 84 83	0.03932744021815846 0.02608047690014903
12 19 121	0.16326530612244897 0.0037257824143070045
12 27	0.01056910569105691 0.009687034277198211
12 27 15 80	0.0021968508197608354 0.04918032786885246
12 27 18	0.04716172183158978 0.05812220566318927
12 27 18 18	0.023907365582545928 0.06184798807749627
12 27 18 27	0.044227741648343616 0.05141579731743666
12 27 18 83	0.022535424074657775 0.06110283159463487
12 27 18 92	0.04384287767507483 0.05067064083457526
12 27 27	0.3173688996665656 0.23845007451564829
12 27 27 18	0.031111265797330114 0.05663189269746647
12 27 27 27	0.13852334475032835 0.13412816691505217
12 27 27 92	0.13166442789107338 0.146795827123696
12 27 30 34	0.10320284697508897 0.00894187779433681
12 27 30 95	0.0012444328006287662 0.040238450074515646
12 27 33 98	0.10072867552507501 0.02608047690014903
12 27 45 110	0.018689197238093137 0.06408345752608048
12 27 52 92	0.2073170731707317 0.012667660208643815
12 27 52 95	0.03350083752093802 0.007451564828614009
12 27 52 117	0.037732712765957445 0.07675111773472429
12 27 56 121	0.04 0.0014903129657228018
12 27 77 12	0.08801955990220049 0.07302533532041729
12 27 77 39	0.11935483870967742 0.02533532041728763
12 27 83	0.04683070642930037 0.05886736214605067
12 27 83 18	0.03094902892154886 0.06184798807749627
12 27 83 27	0.040438414615823794 0.05141579731743666
12 27 83 83	0.03161834584546065 0.06110283159463487
12 27 85 20	0.03574577346058066 0.04992548435171386
12 27 85 39	0.008276588540686957 0.03651266766020864
12 27 85 40	0.006377142857142857 0.030551415797317436
12 27 86 21	0.14978567644367385 0.03502235469448584
12 27 86 61	0.057757644394110984 0.03204172876304024
12 27 92	0.37314685314685314 0.29582712369597614
12 27 92 27	0.13581824636137735 0.17585692995529062
12 27 92 83	0.04082241730441224 0.05886736214605067
12 27 92 92	0.13136419441034158 0.146795827123696
12 27 93 28	0.2413793103448276 0.018628912071535022
12 27 93 53	0.9090909090909091 0.007451564828614009
12 27 98 27	0.07407407407407407 0.0029806259314456036
12 27 98 92	0.25 0.0029806259314456036
12 27 104 12	0.2184873949579832 0.018628912071535022
12 27 104 20	0.11084624553039332 0.018628912071535022
12 27 104 39	0.07635372029606545 0.00894187779433681
12 27 104 40	0.10813397129186603 0.05588673621460507
12 27 105 12	0.1050228310502283 0.009687034277198211
12 27 105 39	0.07894736842105263 0.030551415797317436
12 27 105 40	0.08779904306220096 0.011922503725782414
12 27 105 53	0.7272727272727273 0.005961251862891207
12 27 117	0.054 0.020119225037257823
12 27 117 27	0.11961722488038277 0.011922503725782414
12 27 117 52	0.03439153439153439 0.007451564828614009
12 27 117 56	0.9615384615384616 0.01788375558867362
12 27 117 92	0.18518518518518517 0.011922503725782414
12 27 118 53	0.06111111111111111 0.0014903129657228018
12 27 122 20	0.023026315789473683 0.004470938897168405
12 27 122 40	0.3023255813953488 0.019374068554396422
12 27 126 21	0.2187683284457478 0.027570789865871834
12 27 126 61	0.049942922374429224 0.03651266766020864
12 30	0.003656307129798903 0.0029806259314456036
12 30 15 80	0.0015333057889179635 0.07078986587183309
12 30 18 18	0.0006232265083082281 0.007451564828614009
12 30 18 83	0.0005633843834379236 0.007451564828614009
12 30 18 95	4.846225535880708e-05 0.00894187779433681
12 30 27 27	0.0016662501041406314 0.004470938897168405
12 30 27 34	0.0076832151300236405 0.005961251862891207
12 30 27 95	0.00020088043022848713 0.014903129657228018
12 30 30 95	0.02486678507992895 0.009687034277198211
12 30 33 95	0.04419889502762431 0.005961251862891207
12 30 34	0.5707121364092277 0.1631892697466468
12 30 34 52	0.014818880351262349 0.009687034277198211
12 30 34 99	0.009373326191751474 0.014903129657228018
12 30 52 95	0.04329004329004329 0.012667660208643815
12 30 77 12	0.03835021707670044 0.027570789865871834
12 30 77 39	0.07386363636363637 0.009687034277198211
12 30 77 40	0.04477611940298507 0.011177347242921014
12 30 83 34	0.0022254013670322684 0.010432190760059613
12 30 83 95	4.849099745981775e-05 0.00894187779433681
12 30 85 12	0.21919554885823578 0.2473919523099851
12 30 85 20	0.004992543358289742 0.02459016393442623
12 30 85 39	0.3585566623898972 0.2481371087928465
12 30 85 40	0.24667287729571466 0.2660208643815201
12 30 85 57	0.021754523996852872 0.11773472429210134
12 30 86 28	0.3160377358490566 0.045454545454545456
12 30 86 53	0.414021164021164 0.09910581222056632
12 30 86 61	0.11794472557415336 0.07153502235469449
12 30 92 34	0.007060333761232349 0.0067064083457526085
12 30 92 95	0.0002906554279901177 0.014157973174366617
12 30 95	0.020896656534954407 0.30625931445603577
12 30 95 27	0.0023854278176285645 0.03651266766020864
12 30 95 28	0.4989816700610998 0.09388971684053651
12 30 95 30	0.0012303943234623057 0.007451564828614009
12 30 95 34	0.5649717514124294 0.09239940387481371
12 30 95 52	0.02407204621832874 0.08867362146050671
12 30 95 53	0.5316622691292876 0.12295081967213115
12 30 95 56	0.040293040293040296 0.027570789865871834
12 30 95 92	0.0024684691634203728 0.038002980625931444
12 30 95 99	0.006516587677725118 0.011177347242921014
12 30 95 117	0.015543583855868586 0.07824143070044709
12 30 98	0.04 0.0014903129657228018
12 30 98 95	0.08247422680412371 0.005216095380029807
12 30 105 12	0.0625 0.0007451564828614009
12 30 105 39	0.05172413793103448 0.01639344262295082
12 30 110 95	0.038461538461538464 0.0014903129657228018
12 30 117	0.21079136690647482 0.14083457526080476
12 30 117 27	0.05714285714285714 0.0067064083457526085
12 30 117 34	0.3869565217391304 0.06482861400894188
12 30 117 92	0.09803921568627451 0.0067064083457526085
12 30 117 95	0.04219409282700422 0.011922503725782414
12 30 117 117	0.05847568988173456 0.06482861400894188
12 30 122 39	0.4358974358974359 0.02533532041728763
12 33 28 27	0.125 0.0007451564828614009
12 33 28 92	0.16666666666666666 0.0007451564828614009
12 33 34	1.0 0.0007451564828614009
12 33 95	1.0 0.0014903129657228018
12 33 98	0.14766839378238342 0.040238450074515646
12 33 98 18	0.04010135629853026 0.03278688524590164
12 33 98 27	0.08594907719250977 0.02533532041728763
12 33 98 83	0.03983949920841447 0.03278688524590164
12 33 98 92	0.0854149879129734 0.02459016393442623
12 33 117	1.0 0.0007451564828614009
12 34	0.0136986301369863 0.0014903129657228018
12 34 30	0.2149122807017544 0.03353204172876304
12 34 30 18	0.01385165326184093 0.020119225037257823
12 34 30 95	0.0036875628561850488 0.010432190760059613
12 34 52	0.19480519480519481 0.021609538002980627
12 34 77 20	0.24326292789512016 0.05365126676602087
12 34 92 30	0.7307692307692307 0.0067064083457526085
12 34 99	0.38046272493573263 0.06482861400894188
12 34 99 18	0.009988109393579072 0.02384500745156483
12 34 99 83	0.009735744089012517 0.02384500745156483
12 34 104 12	0.06 0.01639344262295082
12 34 104 20	0.31322306967177993 0.06184798807749627
12 34 104 57	0.0074418604651162795 0.01639344262295082
12 34 105 12	0.03361344537815126 0.018628912071535022
12 34 105 20	0.44146559428060766 0.06333830104321908
12 34 105 40	0.019123462809469634 0.0014903129657228018
12 34 117 30	0.9908376963350786 0.023099850968703428
12 34 118 30	0.5333333333333333 0.02459016393442623
12 34 126 21	0.3229755178907721 0.02608047690014903
12 34 126 61	0.038980022738346595 0.014903129657228018
12 45 108 20	0.043674698795180725 0.03353204172876304
12 45 110	0.02528953310510598 0.10506706408345752
12 45 110 18	0.022124029091008513 0.07228017883755589
12 45 110 27	0.02824247304480159 0.06035767511177347
12 45 110 34	0.0023253462743908606 0.0067064083457526085
12 45 110 83	0.020888599165558335 0.07078986587183309
12 45 110 92	0.02835518222178947 0.06035767511177347
12 45 110 95	6.354304120558372e-05 0.00894187779433681
12 52	0.0040650406504065045 0.0022354694485842027
12 52 27 95	0.0006915629322268327 0.0014903129657228018
12 52 30 34	0.9573170731707317 0.06557377049180328
