1 66	1.1584196838672682e-05 0.000726480203414457
6 71 44 79	0.01644736842105263 0.0018162005085361425
6 71 45 10	0.059472612041647804 0.18561569197239375
6 71 45 79	0.022727272727272728 0.0003632401017072285
6 71 46 111	3.012353466221795e-07 0.000726480203414457
6 71 50 10	0.03411664779161948 0.06284053759535052
6 71 52 93	0.0021929824561403508 0.0003632401017072285
6 71 53 93	0.005812891409942339 0.10715583000363241
6 71 53 95	0.0001006255555369212 0.002179440610243371
6 71 53 117	8.999847002600955e-06 0.0003632401017072285
6 71 53 118	0.0016012150607351261 0.036687250272430076
6 71 56 79	0.04072398190045249 0.006175081729022884
6 71 56 121	0.02702702702702703 0.006175081729022884
6 71 58 10	0.04667207792207792 0.032328369051943334
6 71 67 10	0.024291497975708502 0.002179440610243371
6 71 73 10	0.047370105622532806 0.08172902288412641
6 71 75 10	0.037465420297453915 0.35524881946966946
6 71 75 79	0.01505296413306077 0.01961496549219034
6 71 75 121	0.04072398190045249 0.006175081729022884
6 71 79	0.021199819576003608 0.030148928441699963
6 71 79 32	0.0710681244743482 0.02869596803487105
6 71 88 10	0.042 0.07918634217217581
6 71 88 79	0.02167630057803468 0.005448601525608427
6 71 97	0.002255639097744361 0.000726480203414457
6 71 97 32	0.03308270676691729 0.014166363966581911
6 71 98 10	0.0749063670411985 0.04068289139120959
6 71 109 10	0.04142011834319527 0.147838721394842
6 71 110 10	0.04965289256198347 0.14638576098801306
6 71 110 79	0.02358490566037736 0.0010897203051216855
6 71 115 10	0.033134829744999234 0.05339629495096258
6 71 121	0.00816326530612245 0.001452960406828914
6 71 123 10	0.06039735099337749 0.043225572103160186
6 87 6 71	0.0006084043138366142 0.003632401017072285
6 87 10	0.17391304347826086 0.005811841627315656
6 87 22 71	0.0013276894284566469 0.019978205593897565
6 102	0.0009581603321622484 0.0010897203051216855
6 102 6 71	0.0007693106410292716 0.01961496549219034
6 102 6 102	0.000757309387931734 0.000726480203414457
6 102 10	0.026041666666666668 0.0018162005085361425
6 102 20 95	2.7740982446893358e-05 0.001452960406828914
6 102 28 93	0.002890173410404624 0.001452960406828914
6 102 37 71	0.0007007801558611573 0.03741373047584454
6 102 75 10	0.0319634703196347 0.01452960406828914
6 109 33 10	0.1323529411764706 0.0032691609153650564
6 109 44 71	0.0015861825872400424 0.0032691609153650564
8 1 66 10	0.02653748946925021 0.002179440610243371
8 6 71	0.00044786814761734145 0.001452960406828914
8 6 71 10	0.04681946316950607 0.00980748274609517
8 8 6 71	0.0002569153035882504 0.0018162005085361425
8 8 8 10	0.5576820839978734 0.007628042135851798
8 8 10	0.6813186813186813 0.01634580457682528
8 8 40 118	0.009140767824497258 0.000726480203414457
8 8 45 10	0.625 0.0018162005085361425
8 8 73 10	0.6016877637130802 0.007628042135851798
8 10	0.41025641025641024 0.00472212132219397
8 10 32 97	0.022871664548919948 0.004358881220486742
8 10 75 10	0.23535704733886065 0.007628042135851798
8 10 97 14	0.06666666666666667 0.0003632401017072285
8 33 98 10	0.75 0.001452960406828914
8 35 100 10	0.09836065573770492 0.0003632401017072285
8 36 101 10	0.06896551724137931 0.000726480203414457
8 39 118 10	0.044444444444444446 0.0003632401017072285
8 40 105 10	0.1796875 0.005085361423901199
8 40 118	0.016304347826086956 0.000726480203414457
8 41 106 10	0.040397762585456805 0.003995641118779513
8 45 10	0.5 0.001452960406828914
8 45 10 97	0.023255813953488372 0.000726480203414457
8 45 110 10	0.6551724137931034 0.002905920813657828
8 46 102 10	0.05198776758409786 0.002179440610243371
8 46 111 10	0.028818147047574214 0.015982564475118054
8 46 111 121	0.00851063829787234 0.0003632401017072285
8 67 61 93	0.024 0.0003632401017072285
8 73 8 10	0.5502158273381295 0.007628042135851798
8 73 10	0.635036496350365 0.017798764983654194
8 73 40 118	0.0061823802163833074 0.000726480203414457
8 73 73 10	0.5502158273381295 0.007628042135851798
8 73 123	0.09090909090909091 0.0003632401017072285
8 123	0.14285714285714285 0.0003632401017072285
8 123 58 10	0.6 0.0025426807119505995
8 123 58 123	0.09090909090909091 0.0003632401017072285
10	1.0 1.0
10 1 66 10	0.08417721518987342 0.0025426807119505995
10 6 71	0.003367235473162868 0.2640755539411551
10 6 71 10	0.048553781870550296 0.3192880494006538
10 6 71 32	0.034375 0.034871049763893935
10 6 71 33	0.0033617212012550424 0.002905920813657828
10 6 71 79	0.03633802816901408 0.04031965128950236
10 6 71 121	0.1306122448979592 0.02179440610243371
10 6 102	0.001039095986491752 0.001452960406828914
10 6 102 10	0.12363636363636364 0.022520886305848167
10 10	1.0 0.0003632401017072285
10 10 75	0.013888888888888888 0.0003632401017072285
10 14 6 71	0.0017372801465240929 0.043952052306574646
10 14 10	0.603988603988604 0.07301126044315293
10 14 10 97	0.0297029702970297 0.0032691609153650564
10 14 12 93	0.3522727272727273 0.011260443152924083
10 14 12 117	0.125 0.001452960406828914
10 14 20 93	1.0 0.002905920813657828
10 14 23 10	0.9375 0.02179440610243371
10 14 32 97	0.020833333333333332 0.0010897203051216855
10 14 39 93	0.016203703703703703 0.0025426807119505995
10 14 40 93	0.11513157894736842 0.012713403559752997
10 14 45 10	0.5555555555555556 0.0018162005085361425
10 14 53 93	0.07936507936507936 0.0018162005085361425
10 14 73 10	1.0 0.000726480203414457
10 14 75 10	0.03216374269005848 0.0010897203051216855
10 14 79	0.7008403361344537 0.14202687976752634
10 14 79 32	0.06956521739130435 0.007991282237559027
10 14 88 10	0.9090909090909091 0.02179440610243371
10 14 97	0.7619047619047619 0.005811841627315656
10 14 109 10	0.34375 0.003995641118779513
10 14 121	1.0 0.02179440610243371
10 14 123	1.0 0.0003632401017072285
10 21 34 93	0.043478260869565216 0.0003632401017072285
10 21 34 118	0.08333333333333333 0.0003632401017072285
10 21 85 10	0.09734513274336283 0.002179440610243371
10 21 86	0.005405405405405406 0.002179440610243371
10 21 95	0.0077279752704791345 0.0018162005085361425
10 21 95 93	0.03571428571428571 0.0003632401017072285
10 21 95 118	0.08333333333333333 0.0003632401017072285
10 25 90	0.1127946127946128 0.071558300036324
10 25 90 97	0.009572901325478646 0.02615328732292045
10 28 30 86	0.0003169572107765452 0.0003632401017072285
10 28 30 95	0.001944361352078971 0.012713403559752997
10 28 52 93	0.006024096385542169 0.002179440610243371
10 28 52 95	0.0024482528377476075 0.003995641118779513
10 28 52 118	0.0006474587245063128 0.0003632401017072285
10 28 77 10	0.060183895235441626 0.11623683254631312
10 28 77 79	0.03147208121827411 0.010170722847802398
10 28 85 79	0.7272727272727273 0.002905920813657828
10 28 92 118	0.18181818181818182 0.002905920813657828
10 28 93	0.060063897763578275 0.3872139484199056
10 28 93 32	0.08553910572753103 0.08354522339266254
10 28 93 33	0.5145631067961165 0.034871049763893935
10 28 93 97	0.01536902550244891 0.0497638939338903
10 28 93 98	0.11637931034482758 0.022520886305848167
10 28 95	0.02857142857142857 0.0010897203051216855
10 28 99 86	6.494771708774437e-06 0.0003632401017072285
10 28 99 95	0.00046023688663282574 0.010897203051216855
10 28 104 10	0.07037085572008911 0.08863058481656375
10 28 104 43	0.005598958333333333 0.04249909189974573
10 28 104 79	0.00755939524838013 0.0025426807119505995
10 28 105 10	0.0795054945054945 0.24300762804213585
10 28 105 79	0.06666666666666667 0.011260443152924083
10 28 117	0.0008922596475574393 0.001452960406828914
10 28 117 93	0.008064516129032258 0.002179440610243371
10 28 118	0.00812667121061186 0.05194333454413367
10 28 118 10	0.06325301204819277 0.20450417726116962
10 28 118 32	0.02968270214943705 0.010170722847802398
10 28 118 79	0.011013215859030838 0.0018162005085361425
10 28 118 97	0.004784688995215311 0.0032691609153650564
10 29 94	0.07973291437549096 0.16745368688703233
10 29 94 32	0.1326095385808453 0.03922993098438068
10 29 94 97	0.011027370091233637 0.07482746095168907
10 29 102 10	0.11181818181818182 0.04068289139120959
10 30 18 95	3.0017184838319937e-05 0.000726480203414457
10 30 34 93	0.03469387755102041 0.010897203051216855
10 30 34 118	0.010040160642570281 0.003632401017072285
10 30 83 95	3.001200480192077e-05 0.000726480203414457
10 30 85 10	0.15668202764976957 0.02905920813657828
10 30 86	0.0005323112956456936 0.0018162005085361425
10 30 86 10	0.2877442273534636 0.019978205593897565
10 30 93	1.0 0.0010897203051216855
10 30 95	0.017549896765313145 0.034871049763893935
10 30 95 10	0.1935483870967742 0.002905920813657828
10 30 95 32	0.020080321285140562 0.0018162005085361425
10 30 95 33	0.015366430260047281 0.003995641118779513
10 30 95 93	0.07959183673469387 0.012713403559752997
10 30 95 118	0.01559792027729636 0.0032691609153650564
10 30 117 93	0.04526748971193416 0.003995641118779513
10 30 118 10	0.5625 0.005085361423901199
10 32	0.06388642413487133 0.022157646204140936
10 32 10	1.0 0.0003632401017072285
10 32 14 79	0.13043478260869565 0.0010897203051216855
10 32 25 90	0.01714393368500377 0.020704685797312022
10 32 28 93	0.029283990345937247 0.048674173628768615
10 32 29 94	0.01848503114325899 0.07228478023973847
10 32 32	0.03759398496240601 0.001452960406828914
10 32 32 97	0.018495166036149643 0.01961496549219034
10 32 53 93	0.006892230576441102 0.003632401017072285
10 32 75 10	0.06094413837031395 0.316382128586996
10 32 75 79	0.009259259259259259 0.004358881220486742
10 32 79	0.27586206896551724 0.005811841627315656
10 32 79 32	0.034482758620689655 0.0003632401017072285
10 32 79 97	0.2857142857142857 0.003995641118779513
10 32 97	0.039025362215706925 0.3483472575372321
10 32 97 14	0.011798061093835742 0.042135851798038505
10 32 97 32	0.06082289803220036 0.06792589901925172
10 32 97 33	0.05825242718446602 0.010533962949509626
10 32 97 79	0.002294630564479119 0.0010897203051216855
10 32 97 97	0.009675645959318307 0.015982564475118054
10 32 98	0.12379421221864952 0.021067925899019253
10 33	0.11594202898550725 0.002905920813657828
10 33 28 93	0.1386986301369863 0.02869596803487105
10 33 29 94	0.018808777429467086 0.006538321830730113
10 33 75 10	0.09521415644480193 0.03596077006901562
10 33 97	0.030837004405286344 0.027969487831456592
10 33 97 32	0.09673873213631366 0.003995641118779513
10 33 98	1.0 0.025063567017798764
10 37 71	0.0020232675771370764 0.002905920813657828
10 37 71 10	0.0423728813559322 0.00472212132219397
10 37 102	0.05454545454545454 0.002179440610243371
10 40 118	1.0 0.0003632401017072285
10 46 111	0.0006127868182746646 0.001452960406828914
10 46 111 10	0.05062842981058594 0.002905920813657828
10 52 93	0.1 0.001452960406828914
10 52 117	0.5 0.001452960406828914
10 53 27 93	0.5333333333333333 0.002905920813657828
10 53 30 86	0.002331002331002331 0.0003632401017072285
10 53 30 95	0.0022675736961451248 0.0032691609153650564
10 53 77 10	0.09069901790872328 0.05339629495096258
10 53 93	0.030650583349812143 0.05630221576462041
10 53 93 32	0.12243589743589743 0.04794769342535416
10 53 99 86	2.4184381726281167e-05 0.0003632401017072285
10 53 99 95	0.0005108034938958982 0.003632401017072285
10 53 104 10	0.17320574162679425 0.046131492916818014
10 53 104 43	0.02145214521452145 0.04249909189974573
10 53 105 10	0.11329170383586083 0.08390846349436978
10 53 117 93	0.013333333333333334 0.0003632401017072285
10 53 118	0.04182509505703422 0.07991282237559026
10 53 118 10	0.08830062939651981 0.0650199782055939
10 53 118 32	0.054838709677419356 0.006175081729022884
10 56 6 71	0.0017543859649122807 0.023247366509262624
10 56 10	1.0 0.02179440610243371
10 56 23 10	1.0 0.02179440610243371
10 56 79	1.0 0.02179440610243371
10 56 88 10	1.0 0.02179440610243371
10 56 121	1.0 0.02179440610243371
10 58 8 123	1.0 0.0010897203051216855
10 58 10	1.0 0.002179440610243371
10 58 46 111	4.948535233570863e-05 0.0010897203051216855
10 58 73 10	1.0 0.002179440610243371
10 58 123	1.0 0.0010897203051216855
10 75	7.537328619990503e-06 0.0003632401017072285
10 75 1 66	1.0010462061854118e-05 0.001452960406828914
10 75 2 10	1.0 0.0025426807119505995
10 75 6 71	0.00023469271027774406 0.2306574645840901
10 75 6 102	0.00023576803120221488 0.002179440610243371
10 75 8 10	0.3667211774325429 0.14711224119142755
10 75 10	0.5610258124207754 1.0
10 75 10 10	1.0 0.02615328732292045
10 75 10 32	0.08532547020631406 0.1198692335633854
10 75 10 33	0.17115488884872582 0.034871049763893935
10 75 10 79	0.000590413826418335 0.0010897203051216855
10 75 10 97	0.011567603331804269 0.26480203414456954
10 75 10 98	0.07769300188694725 0.022157646204140936
10 75 12 93	0.007624426403106248 0.10606610969851071
10 75 12 118	0.0026883101316758275 0.04286233200145296
10 75 20 86	1.0216468389782418e-05 0.0018162005085361425
10 75 20 93	0.01728395061728395 0.001452960406828914
10 75 20 95	0.00029576055821698636 0.02397384671267708
10 75 21 93	0.008421052631578947 0.001452960406828914
10 75 21 95	0.0021532245201765113 0.01670904467853251
10 75 23 10	0.05257969109431482 0.03341808935706502
10 75 23 79	0.18181818181818182 0.02179440610243371
10 75 23 121	1.0 0.02179440610243371
10 75 30 95	0.0014036729442040005 0.0025426807119505995
10 75 33 10	0.6248216833095578 0.13439883763167454
10 75 37 71	0.0018034265103697023 0.02397384671267708
10 75 37 94	0.03232163973196689 0.043225572103160186
10 75 39 93	0.011426747526332588 0.09262622593534327
10 75 39 118	0.008153887737634022 0.04358881220486742
10 75 40 93	0.011038049614011534 0.22157646204140938
10 75 40 95	0.023853211009174313 0.00472212132219397
10 75 40 118	0.004129544124341549 0.06610969851071559
10 75 43	0.09694415173867228 0.03341808935706502
10 75 44 10	0.06900958466453674 0.21903378132945878
10 75 44 79	0.06707317073170732 0.002179440610243371
10 75 45 10	0.28618683700239533 0.37086814384308026
10 75 46 111	2.9568941601746653e-07 0.001452960406828914
10 75 50 10	0.17158176943699732 0.00980748274609517
10 75 53 93	0.010487621168456904 0.16781692698873957
10 75 53 95	0.03474903474903475 0.005085361423901199
10 75 53 118	0.003202524421766424 0.04903741373047584
10 75 58 10	0.16006692693809257 0.10388666908826734
10 75 67 10	1.0 0.0025426807119505995
10 75 73 10	0.3667211774325429 0.14711224119142755
10 75 75 10	0.5069444444444444 0.02651652742462768
10 75 79	0.09618874773139746 0.06175081729022884
10 75 79 32	0.07429420505200594 0.015256084271703597
10 75 88 10	0.05257969109431482 0.03341808935706502
10 75 88 79	0.1892744479495268 0.02179440610243371
10 75 88 121	1.0 0.02179440610243371
10 75 98 10	0.34528971225857313 0.1413003995641119
10 75 109 10	0.08121064009775354 0.21140573919360697
10 75 110 10	0.22318092866038072 0.37159462404649474
10 75 110 79	0.025 0.0010897203051216855
10 75 115 10	0.1711229946524064 0.00980748274609517
10 75 121	0.3314917127071823 0.02179440610243371
10 75 123	0.0029211295034079843 0.0010897203051216855
10 75 123 10	0.3265073947667804 0.09989102796948783
10 79 14	0.8497109826589595 0.05339629495096258
10 79 14 32	0.06338028169014084 0.006175081729022884
10 79 32	0.08547008547008547 0.003632401017072285
10 79 32 97	0.025856885147324114 0.046857973120232474
10 79 97 32	0.5 0.042135851798038505
10 97	0.012545739675901725 0.02579004722121322
10 97 6 71	0.00022848989888546556 0.03559752996730839
10 97 14	0.006443298969072165 0.003632401017072285
10 97 14 10	0.0368763557483731 0.018162005085361425
10 97 14 32	0.5117647058823529 0.03160188884852888
10 97 14 79	0.010475774770842427 0.008354522339266255
10 97 14 97	0.004694835680751174 0.000726480203414457
10 97 28 93	0.015696174743427913 0.09335270613875772
10 97 28 118	0.005262867849663838 0.042135851798038505
10 97 29 94	0.048 0.0446785325099891
10 97 32	0.8661804108365585 0.1925172539048311
10 97 32 14	0.58 0.042135851798038505
10 97 32 32	0.18222222222222223 0.0497638939338903
10 97 32 97	0.010673172858448408 0.07918634217217581
10 97 32 98	0.06732976281560826 0.003995641118779513
10 97 33	1.0 0.03087540864511442
10 97 33 97	0.00984952120383037 0.013076643661460226
10 97 53 93	0.005038220986796386 0.010170722847802398
10 97 75 10	0.0606573555458247 0.17689792953142028
10 97 75 43	0.000859106529209622 0.0003632401017072285
10 97 75 79	0.005149330587023687 0.0032691609153650564
10 97 79 14	0.03805496828752643 0.005811841627315656
10 97 79 32	0.6541353383458647 0.03087540864511442
10 97 97	0.003897116134060795 0.0018162005085361425
10 97 97 32	0.16933402168301498 0.05957137667998547
10 97 108 43	0.0389908256880734 0.005811841627315656
10 98	0.08 0.002905920813657828
10 98 28 93	0.16878980891719744 0.03850345078096622
10 98 32	1.0 0.03087540864511442
10 98 32 98	0.07058823529411765 0.002179440610243371
10 98 33	1.0 0.03632401017072285
10 98 33 97	0.009819967266775777 0.013076643661460226
10 98 75 10	0.0914534041525833 0.051216854340719216
10 104 39	1.0 0.0003632401017072285
10 105 40	1.0 0.0003632401017072285
10 108 10	1.0 0.03341808935706502
10 108 20 95	0.0029563932002956393 0.002905920813657828
10 108 39 93	0.028527200353825742 0.04649473301852525
10 108 39 118	0.025873507297655904 0.042135851798038505
10 108 43	0.6477611940298508 0.07700690156193243
11 53 117 93	0.1 0.0010897203051216855
11 76 10	1.0 0.0010897203051216855
12 15 100 10	0.125 0.0018162005085361425
12 18 85 10	0.05150214592274678 0.000726480203414457
12 18 86 10	0.04878048780487805 0.0003632401017072285
12 27 27 93	0.024390243902439025 0.000726480203414457
12 30 85 10	0.13414634146341464 0.0032691609153650564
12 52 85 10	0.11764705882352941 0.0010897203051216855
12 52 118 10	0.14285714285714285 0.0010897203051216855
12 77 6 71	0.0003041629772824052 0.007991282237559027
12 77 10	0.4849137931034483 0.0573919360697421
12 77 10 97	0.018756169792694965 0.005811841627315656
12 77 12 93	0.016699945543655836 0.0032691609153650564
12 77 39 93	0.016025641025641024 0.002179440610243371
12 77 40 93	0.01340645947592931 0.0032691609153650564
12 77 45 10	0.41379310344827586 0.002905920813657828
12 83 85 10	0.05150214592274678 0.000726480203414457
12 92 27 93	0.03355704697986577 0.0010897203051216855
12 92 92 93	0.02459016393442623 0.000726480203414457
12 93	0.02005730659025788 0.0025426807119505995
12 93 6 71	0.0005741127348643006 0.0032691609153650564
12 93 28 93	0.015932407966203984 0.0025426807119505995
12 93 32 97	0.016729259132809832 0.006175081729022884
12 93 52 93	0.014760147601476014 0.001452960406828914
12 93 75 10	0.08118774666416087 0.013076643661460226
12 99 85 10	0.09025270758122744 0.004358881220486742
12 104 1 66	9.514295228580943e-05 0.0003632401017072285
12 104 6 71	0.0002300621167715283 0.003632401017072285
12 104 8 10	0.08333333333333333 0.0003632401017072285
12 104 10	0.0636042402826855 0.005448601525608427
12 104 12 93	0.016408386508659983 0.001452960406828914
12 104 39 93	0.015611843467458072 0.0025426807119505995
12 104 40 93	0.014867937729578451 0.003632401017072285
12 104 40 118	0.004616568350859195 0.0010897203051216855
12 104 73 10	0.08333333333333333 0.0003632401017072285
12 104 109 10	0.12195121951219512 0.0018162005085361425
12 105 1 66	8.500541447531331e-05 0.0003632401017072285
12 105 6 71	0.0003729648600930607 0.007628042135851798
12 105 10	0.12638888888888888 0.020341445695604796
12 105 10 32	0.0718562874251497 0.0025426807119505995
12 105 10 97	0.01452081316553727 0.00472212132219397
12 105 12 93	0.015475313190862197 0.002905920813657828
12 105 39 93	0.015372452565003514 0.005448601525608427
12 105 40 93	0.01637625220320832 0.0025426807119505995
12 105 45 10	0.08333333333333333 0.0018162005085361425
12 105 50 10	0.25 0.001452960406828914
12 105 73 10	0.09090909090909091 0.0010897203051216855
12 105 79	0.038461538461538464 0.0003632401017072285
12 105 109 10	0.025 0.0003632401017072285
12 105 123 10	0.06451612903225806 0.000726480203414457
12 117 52 93	0.016019716574245224 0.002179440610243371
12 118 6 71	0.00047933764253032174 0.00472212132219397
12 118 10	0.09268292682926829 0.008717762440973484
12 118 10 97	0.018469656992084433 0.005811841627315656
12 118 28 93	0.017241379310344827 0.002179440610243371
12 118 32 97	0.022774327122153208 0.003632401017072285
12 118 40 93	0.026785714285714284 0.0010897203051216855
12 118 53 93	0.016056758775205376 0.002179440610243371
12 118 75 10	0.1257005604483587 0.004358881220486742
12 118 98 10	1.0 0.002905920813657828
12 118 110 10	0.14516129032258066 0.005448601525608427
12 126 2 10	0.08088235294117647 0.0032691609153650564
12 126 61 93	0.014913459922702066 0.0032691609153650564
14 41 106 10	0.04964539007092199 0.000726480203414457
14 45 10	1.0 0.0010897203051216855
14 46 111 10	0.033673017279574655 0.0010897203051216855
14 79 10	1.0 0.0010897203051216855
16 28 77 10	0.04918032786885246 0.0010897203051216855
16 28 93 32	0.019230769230769232 0.0003632401017072285
16 28 104 10	0.11666666666666667 0.001452960406828914
16 28 105 10	0.14556962025316456 0.0032691609153650564
16 33 81 10	0.06666666666666667 0.0003632401017072285
16 52 104 10	0.07142857142857142 0.000726480203414457
16 52 105 10	0.14444444444444443 0.001452960406828914
16 81 6 71	0.000368362114693228 0.017072284780239737
16 81 8 10	0.10526315789473684 0.000726480203414457
16 81 10	0.5056746532156369 0.11914275335997095
16 81 10 32	0.048295454545454544 0.00472212132219397
16 81 10 97	0.011863224005582694 0.005085361423901199
16 81 12 93	0.00929368029739777 0.006901561932437341
16 81 20 95	0.0015732827975828655 0.0025426807119505995
16 81 22 71	0.001726689689195856 0.0003632401017072285
16 81 39 93	0.005050505050505051 0.003995641118779513
16 81 40 93	0.008376144739781103 0.009081002542680712
16 81 40 118	0.0026154310431546124 0.0032691609153650564
16 81 45 10	0.16666666666666666 0.003632401017072285
16 81 67 10	0.5 0.0003632401017072285
16 81 73 10	0.10526315789473684 0.000726480203414457
16 81 79	0.20512820512820512 0.0025426807119505995
16 81 121	0.2 0.0003632401017072285
16 97 81 10	0.08333333333333333 0.0003632401017072285
16 108 6 71	0.00034071550255536625 0.0025426807119505995
16 108 10	0.6666666666666666 0.000726480203414457
16 108 20 93	0.9285714285714286 0.0003632401017072285
16 108 20 95	0.0009018911530114709 0.0018162005085361425
16 108 39 93	0.004456327985739751 0.0010897203051216855
16 108 39 118	0.0018885741265344666 0.0003632401017072285
20 1 66 10	0.06707317073170732 0.003995641118779513
20 14 79 95	0.036458333333333336 0.0025426807119505995
20 15 80 93	0.035555555555555556 0.003632401017072285
20 15 80 95	0.0009765625 0.009081002542680712
20 15 100 10	0.08394160583941605 0.025426807119505995
20 18 18 86	1.0083175970826686e-05 0.001452960406828914
20 18 18 93	0.0006473440371993544 0.000726480203414457
20 18 18 95	0.00026279681506297516 0.015619324373410825
20 18 27 86	2.342648223257499e-05 0.0010897203051216855
20 18 27 95	0.0001577347167908606 0.01198692335633854
20 18 34 93	0.0031244420639171574 0.012350163458045769
20 18 34 118	0.0015298776097912167 0.005811841627315656
20 18 77 10	0.06521739130434782 0.004358881220486742
20 18 83 86	1.126428963960971e-05 0.001452960406828914
20 18 83 93	0.0006375135821820817 0.000726480203414457
20 18 83 95	0.00023204001274798995 0.015619324373410825
20 18 85 10	0.03700174686358584 0.043952052306574646
20 18 86 10	0.024169611307420496 0.02615328732292045
20 18 92 86	2.3056243400150327e-05 0.0010897203051216855
20 18 92 95	0.00015866500643283124 0.01198692335633854
20 18 95	1.2969607885521594e-05 0.0010897203051216855
20 18 95 10	0.03225806451612903 0.008354522339266255
20 18 95 32	0.020702070207020702 0.010170722847802398
20 18 105 10	0.04854368932038835 0.008354522339266255
