2 1 66	5.1668905652578275e-05 0.0010438413361169101
2 39 126 21	0.6772036474164134 0.07411273486430063
2 40	0.0106951871657754 0.006263048016701462
2 40 15 80	0.00578520108239246 0.054279749478079335
2 40 18 18	0.040584319183800455 0.007306889352818371
2 40 18 83	0.042090423973867176 0.007306889352818371
2 40 30	0.14638157894736842 0.07306889352818371
2 40 30 27	0.040473225404732256 0.05636743215031315
2 40 30 52	0.12244897959183673 0.006263048016701462
2 40 33 98	0.1111111111111111 0.005219206680584551
2 40 45 110	0.017415609546334122 0.008350730688935281
2 40 52	0.04960835509138381 0.017745302713987474
2 40 52 27	0.010714285714285714 0.003131524008350731
2 40 52 92	0.011673151750972763 0.003131524008350731
2 40 77 12	0.009025270758122744 0.016701461377870562
2 40 77 20	0.2610213880401571 0.1534446764091858
2 40 83 18	0.036563532036159044 0.007306889352818371
2 40 83 83	0.037680055406940687 0.007306889352818371
2 40 83 92	0.014705882352941176 0.0041753653444676405
2 40 85 20	0.8876956121509666 0.009394572025052192
2 40 85 40	0.025547445255474453 0.006263048016701462
2 40 86 21	0.713276836158192 0.007306889352818371
2 40 86 61	0.24152542372881355 0.007306889352818371
2 40 95 30	0.6446886446886447 0.003131524008350731
2 40 99	0.1352253756260434 0.07411273486430063
2 40 99 27	0.04151943462897526 0.04175365344467641
2 40 99 52	0.09433962264150944 0.005219206680584551
2 40 99 92	0.04162976085031001 0.04175365344467641
2 40 104 20	0.24968884249407797 0.21920668058455114
2 40 104 39	0.0012368050162510427 0.007306889352818371
2 40 105 12	0.007583417593528817 0.015657620041753653
2 40 105 20	0.34818941504178275 0.2359081419624217
2 40 105 40	0.002376478390626727 0.007306889352818371
2 40 117 52	0.006278026905829596 0.0041753653444676405
2 40 118 21	0.25149700598802394 0.018789144050104383
2 40 126 21	0.5637552545539467 0.1544885177453027
2 40 126 61	0.021834061135371178 0.033402922755741124
2 41 106 20	0.1518542199488491 0.033402922755741124
2 43 81 20	0.5 0.005219206680584551
2 43 110 83	0.0426673103250037 0.0020876826722338203
2 43 110 92	0.018300653594771243 0.0020876826722338203
2 45 110 20	0.11383374689826303 0.031315240083507306
2 46 102 20	0.0610079575596817 0.030271398747390398
2 46 111 12	0.0012183497943455217 0.1732776617954071
2 46 111 20	0.1431393959068038 0.615866388308977
2 46 111 39	0.00045814233675873026 0.23277661795407098
2 46 111 40	0.0007917625291451786 0.35490605427974947
2 46 111 57	0.002847047718662704 0.2578288100208768
2 49 114 20	0.16931582584657912 0.022964509394572025
2 50 67 21	0.6422872340425532 0.06889352818371608
2 50 115 20	0.53125 0.06367432150313153
2 51 116 12	0.026987386330302142 0.04175365344467641
2 51 116 20	0.12000329679386797 0.08663883089770355
2 51 116 40	0.0016134608735738159 0.012526096033402923
2 57	0.1111111111111111 0.008350730688935281
2 57 18 83	0.046868870787650736 0.014613778705636743
2 57 27 83	0.05728051391862955 0.014613778705636743
2 57 83	0.013157894736842105 0.006263048016701462
2 57 83 83	0.05050729149930607 0.014613778705636743
2 57 85 20	0.9340982940698619 0.014613778705636743
2 57 86 21	0.8169291338582677 0.014613778705636743
2 57 86 30	0.8181818181818182 0.008350730688935281
2 57 92 83	0.07190860215053764 0.014613778705636743
2 57 95 30	0.8260233918128655 0.014613778705636743
2 57 105 20	0.896 0.008350730688935281
2 57 122 20	0.6933247339567882 0.04592901878914405
2 58 39 99	0.14285714285714285 0.0010438413361169101
2 67 2 20	0.5224667093925799 0.5302713987473904
2 67 2 40	0.002239014833473272 0.010438413361169102
2 67 2 57	0.15865921787709497 0.04175365344467641
2 67 4 20	0.6818950930626058 0.23799582463465555
2 67 21	0.8024359155926922 0.7129436325678496
2 67 21 18	0.02746376502051061 0.5532359081419624
2 67 21 27	0.1026378730631911 0.4394572025052192
2 67 21 83	0.027934623833401562 0.5542797494780793
2 67 21 92	0.09440158133010267 0.4394572025052192
2 67 61	0.12675736961451248 0.24634655532359082
2 67 61 18	0.03146450480034663 0.3674321503131524
2 67 61 27	0.064458477302514 0.174321503131524
2 67 61 83	0.031026232854182892 0.3674321503131524
2 67 61 92	0.06562348374575448 0.174321503131524
2 67 61 99	0.0936427520836738 0.19832985386221294
2 69 2 20	0.6298507462686567 0.05323590814196242
2 69 4 20	0.7044334975369458 0.04175365344467641
2 69 21	0.8428571428571429 0.06889352818371608
2 69 21 92	0.0948429164196799 0.033402922755741124
2 69 61	0.2719298245614035 0.017745302713987474
2 69 61 18	0.016201620162016202 0.025052192066805846
2 69 61 83	0.016319129646418858 0.025052192066805846
2 73 20	0.717948717948718 0.028183716075156576
2 73 20 18	0.010602205258693808 0.026096033402922755
2 73 35 80	0.001671309192200557 0.006263048016701462
2 73 40 52	0.125 0.0041753653444676405
2 73 67 21	0.5921052631578947 0.026096033402922755
2 88 20	0.7866666666666666 0.0511482254697286
2 115 20	0.562962962962963 0.061586638830897704
2 115 50 20	0.5375494071146245 0.06576200417536535
2 123 20	0.625 0.010438413361169102
2 123 35 80	0.007326007326007326 0.008350730688935281
2 123 39 52	0.14285714285714285 0.0041753653444676405
2 123 39 99	0.25 0.0041753653444676405
2 123 40 52	0.11428571428571428 0.0041753653444676405
2 123 40 99	0.16129032258064516 0.010438413361169102
4 1 66 20	0.6723716381418093 0.019832985386221295
4 6 71 21	0.15137614678899083 0.0041753653444676405
4 6 71 61	0.02030456852791878 0.003131524008350731
4 12 77 20	0.35064935064935066 0.007306889352818371
4 12 85 20	0.4052780395852969 0.0010438413361169101
4 12 95 30	0.25 0.0010438413361169101
4 12 99	0.1875 0.003131524008350731
4 12 104 20	0.29111531190926276 0.007306889352818371
4 12 105 20	0.34396671289875175 0.006263048016701462
4 12 126 21	0.7945205479452054 0.006263048016701462
4 16 30	0.7333333333333333 0.011482254697286013
4 16 81 20	0.587382779198636 0.04384133611691023
4 20	0.7391304347826086 0.08455114822546973
4 20 3 68	0.2375 0.03966597077244259
4 20 18	0.008322929671244279 0.038622129436325675
4 20 18 18	0.03512339625438845 0.12421711899791232
4 20 18 27	0.026058756199923695 0.11169102296450939
4 20 18 83	0.03751085273957648 0.12421711899791232
4 20 18 92	0.024233607720692593 0.11169102296450939
4 20 27	0.03582089552238806 0.025052192066805846
4 20 27 18	0.037819358383443726 0.11377870563674322
4 20 27 27	0.21810850439882698 0.10438413361169102
4 20 27 92	0.19785018474974808 0.10438413361169102
4 20 45 110	0.031595461344813745 0.12421711899791232
4 20 66 1	0.8888888888888888 0.04175365344467641
4 20 77 12	0.5709294199860238 0.07933194154488518
4 20 77 20	0.49533678756476685 0.07828810020876827
4 20 83	0.00819672131147541 0.038622129436325675
4 20 83 18	0.039812529037756235 0.12421711899791232
4 20 83 27	0.032582322357019064 0.11169102296450939
4 20 83 83	0.04060275024805469 0.12421711899791232
4 20 83 92	0.03230117215837502 0.11169102296450939
4 20 85 1	0.008202028922944096 0.03966597077244259
4 20 85 12	0.12938534942464217 0.06889352818371608
4 20 85 20	0.7533804662200578 0.12108559498956159
4 20 85 39	0.0067297737021150715 0.07411273486430063
4 20 85 40	0.01288839818841396 0.055323590814196244
4 20 86 21	0.6880413164816834 0.11691022964509394
4 20 86 30	0.7520661157024794 0.07828810020876827
4 20 86 61	0.1735787217950334 0.09916492693110647
4 20 92 18	0.042722740995576776 0.11377870563674322
4 20 92 27	0.20091463414634148 0.10542797494780794
4 20 95 21	0.883495145631068 0.07828810020876827
4 20 95 30	0.6881854600380902 0.10438413361169102
4 20 95 52	0.03271028037383177 0.04488517745302714
4 20 104 20	0.4417989417989418 0.07411273486430063
4 20 104 39	0.8751753155680224 0.07620041753653445
4 20 105 20	0.7707774798927614 0.05636743215031315
4 20 105 40	0.8822269807280514 0.0824634655532359
4 20 117 30	0.6916299559471366 0.04279749478079332
4 20 117 52	0.8190954773869347 0.04697286012526096
4 20 126 21	0.6372458410351202 0.10125260960334029
4 20 126 61	0.6508328192473781 0.08559498956158663
4 24 89 20	0.22105263157894736 0.005219206680584551
4 35 80	0.002740977615349475 0.03966597077244259
4 35 80 18	0.04262799384750604 0.06367432150313153
4 35 80 30	0.1090833391159531 0.04488517745302714
4 35 80 45	0.0005836008170411438 0.0020876826722338203
4 35 80 52	0.0015155140783281486 0.008350730688935281
4 35 80 83	0.04165762638316338 0.06367432150313153
4 35 80 92	0.0024357318934147202 0.06576200417536535
4 35 80 99	0.09333333333333334 0.032359081419624215
4 35 100 12	0.009575666541494556 0.031315240083507306
4 35 100 20	0.2545582855661491 0.081419624217119
4 35 100 39	0.0013536795471326606 0.04801670146137787
4 35 100 40	0.0003165635805776068 0.026096033402922755
4 36 101 20	0.1711191335740072 0.05010438413361169
4 39 30	0.2727272727272727 0.017745302713987474
4 39 52	0.05172413793103448 0.003131524008350731
4 39 93 21	0.9047619047619048 0.016701461377870562
4 39 93 30	0.6176470588235294 0.017745302713987474
4 39 99	0.1810344827586207 0.020876826722338204
4 39 104 20	0.3887698898408813 0.03444676409185804
4 39 105 20	0.4893668438859352 0.032359081419624215
4 40 99	0.20634920634920634 0.013569937369519834
4 40 104 20	0.4041739130434783 0.031315240083507306
4 40 105 20	0.5291519434628975 0.032359081419624215
4 40 126 61	0.009900990099009901 0.0020876826722338203
4 43 108 20	0.5333333333333333 0.021920668058455117
4 45 110 20	0.08961187214611872 0.013569937369519834
4 46 111 12	0.005068459399528351 0.031315240083507306
4 46 111 20	0.13510906359070898 0.11169102296450939
4 46 111 39	0.0010087693014522283 0.03966597077244259
4 46 111 40	0.0010448429537070602 0.06471816283924843
4 50 20 18	0.022598870056497175 0.0041753653444676405
4 51 116 20	0.1532912533814247 0.020876826722338204
4 57 122 20	0.8372004564473183 0.028183716075156576
4 67 2 20	0.6904761904761905 0.06993736951983298
4 67 4 20	0.8252427184466019 0.03966597077244259
4 67 21	0.84688995215311 0.09812108559498957
4 67 21 18	0.013139409966118502 0.0709812108559499
4 67 61	0.21052631578947367 0.013569937369519834
4 69 2 20	0.5980036297640653 0.12734864300626306
4 69 2 40	0.006259780907668232 0.0041753653444676405
4 69 4 20	0.7741046831955923 0.09812108559498957
4 69 21	0.8875878220140515 0.20981210855949894
4 69 21 18	0.015629645359949033 0.12421711899791232
4 69 21 83	0.015382364620561372 0.12421711899791232
4 69 61	0.31754874651810583 0.049060542797494784
4 69 61 18	0.015815634884771803 0.049060542797494784
4 69 61 92	0.10638297872340426 0.032359081419624215
4 88 20	0.7857142857142857 0.011482254697286013
4 115 20 18	0.022598870056497175 0.0041753653444676405
4 120 55 20	0.9230769230769231 0.012526096033402923
6 71 2 12	0.0003771137224141312 0.024008350730688934
6 71 2 20	0.171258196949713 0.5845511482254697
6 71 2 40	0.0006568332701480299 0.10960334029227557
6 71 2 57	0.03404730342566106 0.07620041753653445
6 71 4 20	0.20948845841549704 0.42171189979123175
6 71 10 30	0.15404699738903394 0.029227557411273485
6 71 12	0.007620660457239628 0.018789144050104383
6 71 12 99	0.0068359375 0.006263048016701462
6 71 20	0.08994814519345831 0.19728601252609604
6 71 20 18	0.022548394159451122 0.3695198329853862
6 71 20 27	0.03520617313720762 0.16805845511482254
6 71 20 83	0.023180607184741138 0.3695198329853862
6 71 20 92	0.03337814188246633 0.16910229645093947
6 71 21	0.3045359994631953 0.7421711899791231
6 71 21 18	0.033000531616576005 0.675365344467641
6 71 21 27	0.11191444940577709 0.5480167014613778
6 71 21 83	0.032430147606255254 0.675365344467641
6 71 21 92	0.07931993800740962 0.5438413361169102
6 71 30	0.21902654867256638 0.032359081419624215
6 71 30 18	0.020030181399545724 0.09498956158663883
6 71 30 83	0.02000578518211597 0.09498956158663883
6 71 35 80	0.000628965665962325 0.14822546972860126
6 71 38 80	0.001761006289308176 0.031315240083507306
6 71 39 52	0.015609264853977844 0.018789144050104383
6 71 39 99	0.034636871508379886 0.061586638830897704
6 71 40 52	0.008737258165175786 0.016701461377870562
6 71 40 99	0.03021978021978022 0.12004175365344467
6 71 43 30	0.13636363636363635 0.003131524008350731
6 71 43 110	0.0039447731755424065 0.0041753653444676405
6 71 45 21	0.4927536231884058 0.011482254697286013
6 71 45 53	0.016055045871559634 0.0041753653444676405
6 71 53	0.008759124087591242 0.010438413361169102
6 71 53 30	0.03395784543325527 0.033402922755741124
6 71 53 52	0.023834745762711863 0.015657620041753653
6 71 53 83	0.013368983957219251 0.028183716075156576
6 71 53 99	0.032036613272311214 0.031315240083507306
6 71 61	0.029025482411596342 0.4906054279749478
6 71 61 18	0.021040103398042406 0.592901878914405
6 71 61 27	0.04201680672268908 0.4572025052192067
6 71 61 30	0.017320592422974738 0.20250521920668058
6 71 61 52	0.0010402678216791814 0.030271398747390398
6 71 61 83	0.02084821653741454 0.592901878914405
6 71 61 84	0.02096363389748768 0.35490605427974947
6 71 61 92	0.04419310641270183 0.4592901878914405
6 71 61 99	0.06484269800465173 0.4091858037578288
6 71 61 121	0.000486929779600205 0.008350730688935281
6 71 67 21	0.26791171477079795 0.2035490605427975
6 71 67 61	0.0387223142986289 0.10647181628392484
6 71 69 21	0.18282548476454294 0.05323590814196242
6 71 69 61	0.04338842975206612 0.029227557411273485
6 71 75 21	0.0759493670886076 0.005219206680584551
6 71 75 53	0.0030911901081916537 0.0020876826722338203
6 87 20 18	0.02523943661971831 0.006263048016701462
6 87 20 83	0.02461808989998901 0.006263048016701462
10 6 71 21	0.0759493670886076 0.012526096033402923
10 6 71 30	0.1271186440677966 0.009394572025052192
10 6 71 53	0.003284072249589491 0.0020876826722338203
10 28	0.0196078431372549 0.0010438413361169101
10 28 27 30	0.7692307692307693 0.008350730688935281
10 28 30	0.11206896551724138 0.011482254697286013
10 28 30 117	0.03614457831325301 0.0020876826722338203
10 28 52	0.07228915662650602 0.005219206680584551
10 28 77 20	0.16606060606060605 0.019832985386221295
10 28 83 18	0.029834452477524386 0.0010438413361169101
10 28 92 92	0.10344827586206896 0.0010438413361169101
10 28 93 30	0.8363636363636363 0.015657620041753653
10 28 95 30	0.875 0.0010438413361169101
10 28 99	0.1 0.013569937369519834
10 28 99 27	0.004048582995951417 0.0010438413361169101
10 28 99 92	0.0036231884057971015 0.0010438413361169101
10 28 99 95	0.0013723696248856359 0.0020876826722338203
10 28 104 12	0.01485148514851485 0.0020876826722338203
10 28 104 20	0.17103762827822122 0.016701461377870562
10 28 105 12	0.006 0.0020876826722338203
10 28 105 20	0.2697114292206317 0.019832985386221295
10 28 118 21	0.6198830409356725 0.014613778705636743
10 28 118 30	0.4375 0.012526096033402923
10 28 126 21	0.03421461897356143 0.014613778705636743
10 28 126 61	0.012675418741511997 0.005219206680584551
10 30	0.9523809523809523 0.018789144050104383
10 30 15 80	0.02350030921459493 0.015657620041753653
10 30 18 18	0.031685933111335544 0.019832985386221295
10 30 18 27	0.012086330935251799 0.010438413361169102
10 30 18 83	0.02974101334376997 0.019832985386221295
10 30 18 92	0.011444141689373298 0.010438413361169102
10 30 27 27	0.21835443037974683 0.018789144050104383
10 30 27 92	0.2147239263803681 0.018789144050104383
10 30 34 30	0.6428571428571429 0.015657620041753653
10 30 45 110	0.01954732510288066 0.019832985386221295
10 30 83 18	0.043282001425266135 0.019832985386221295
10 30 83 83	0.04303428091169504 0.019832985386221295
10 30 85 20	0.9150978680962474 0.019832985386221295
10 30 86 21	0.6652482269503546 0.019832985386221295
10 30 86 53	0.10152284263959391 0.008350730688935281
10 30 92 18	0.01991676575505351 0.010438413361169102
10 30 92 27	0.19908466819221968 0.019832985386221295
10 30 92 83	0.019988066825775655 0.010438413361169102
10 30 92 92	0.19901719901719903 0.018789144050104383
10 30 95 30	0.8455467869222097 0.018789144050104383
10 30 95 99	0.45 0.015657620041753653
10 30 105 20	0.7 0.015657620041753653
10 30 105 40	0.859375 0.018789144050104383
10 30 118 21	1.0 0.008350730688935281
10 30 126 61	0.788235294117647 0.019832985386221295
10 32 97 30	0.1414141414141414 0.014613778705636743
10 33 30	1.0 0.003131524008350731
10 33 75 21	0.7241379310344828 0.003131524008350731
10 53 104 20	0.005434782608695652 0.003131524008350731
10 53 105 20	0.018050541516245487 0.003131524008350731
10 53 126 21	0.005952380952380952 0.0010438413361169101
10 75 10 30	0.7168141592920354 0.024008350730688934
10 75 12 30	0.007692307692307693 0.0010438413361169101
10 75 20	0.16176470588235295 0.024008350730688934
10 75 20 18	0.02224011840843833 0.020876826722338204
10 75 20 27	0.010403530895334174 0.006263048016701462
10 75 20 83	0.02236454066844503 0.020876826722338204
10 75 20 92	0.009259259259259259 0.006263048016701462
10 75 21	0.6260869565217392 0.054279749478079335
10 75 21 18	0.009846740252521241 0.022964509394572025
10 75 35 80	0.0004944375772558715 0.015657620041753653
10 75 40	0.007990867579908675 0.007306889352818371
10 75 40 30	0.0611439842209073 0.019832985386221295
10 75 40 52	0.030534351145038167 0.006263048016701462
10 75 45 21	0.7719298245614035 0.011482254697286013
10 75 53	0.0297029702970297 0.011482254697286013
10 75 53 99	0.13152804642166344 0.028183716075156576
10 97 28 52	0.0410958904109589 0.0010438413361169101
10 97 28 99	0.02631578947368421 0.0010438413361169101
10 97 75 20	0.022026431718061675 0.005219206680584551
10 97 75 53	0.008968609865470852 0.0010438413361169101
10 98 30	1.0 0.007306889352818371
11 76 30	1.0 0.0010438413361169101
11 89 20	0.3816793893129771 0.003131524008350731
11 89 35 80	0.004199407445575164 0.0020876826722338203
14 20	1.0 0.007306889352818371
14 20 18 18	0.030777536715325706 0.007306889352818371
14 20 18 27	0.028499050031665613 0.007306889352818371
14 20 83 83	0.029290209210649024 0.007306889352818371
14 20 85 20	0.8921778049028583 0.007306889352818371
14 20 95 30	0.6838487972508591 0.007306889352818371
14 20 105 40	1.0 0.006263048016701462
14 20 126 21	0.5826086956521739 0.005219206680584551
14 35 80 92	0.0027624309392265192 0.003131524008350731
14 35 100 20	0.24705420267085623 0.0041753653444676405
14 40 104 20	0.8446601941747572 0.0020876826722338203
14 40 105 12	0.25 0.0010438413361169101
14 40 105 20	0.8288288288288288 0.0020876826722338203
14 46 111 20	0.06829281100666912 0.009394572025052192
21	1.0 1.0
21 1 66	0.021535393818544368 0.12526096033402923
21 1 66 18	0.025000448036703166 0.13778705636743216
21 1 66 20	0.09267277268942548 0.1325678496868476
21 1 121	0.21875 0.014613778705636743
21 1 121 18	0.026672311600338696 0.06576200417536535
21 3 68	0.25 0.35177453027139877
21 3 68 27	0.041213320145070884 0.1304801670146138
21 3 68 30	1.0 0.35177453027139877
21 15 80	0.0107535681550347 0.49582463465553234
21 15 80 18	0.05941460310726974 0.511482254697286
21 15 80 27	0.004315074744396028 0.48643006263048016
21 15 80 28	0.06666666666666667 0.007306889352818371
21 15 80 30	0.2032149021864212 0.48851774530271397
21 15 80 45	0.00034406300175854424 0.007306889352818371
21 15 80 52	0.005600844525247786 0.06784968684759916
21 15 80 83	0.05714987143540114 0.5135699373695198
21 15 80 92	0.0039724304343361745 0.4822546972860125
21 15 80 95	2.1624478910126262e-05 0.009394572025052192
21 15 80 99	0.11605351170568562 0.33089770354906056
21 15 100 12	0.01454463072043498 0.20772442588726514
21 15 100 20	0.3886688041227725 0.6263048016701461
21 15 100 37	0.0002495072232341126 0.008350730688935281
21 15 100 40	0.00029603206027212746 0.06993736951983298
21 15 103 21	0.6845140032948929 0.36325678496868474
21 15 103 30	0.6923076923076923 0.31106471816283926
21 18	0.01311822150218262 0.3444676409185804
21 18 1 66	0.0005196855902179181 0.11482254697286012
21 18 15 80	0.0009432417852265374 0.3653444676409186
21 18 18	0.056529196850562305 0.9478079331941545
21 18 18 18	0.08028202536154116 0.9446764091858038
21 18 18 27	0.043456116873403804 0.8653444676409185
21 18 18 83	0.07879248118471792 0.9446764091858038
21 18 18 92	0.0444116281687597 0.8653444676409185
21 18 19 84	0.021640411237233495 0.6534446764091858
21 18 19 121	0.012482383732635393 0.008350730688935281
21 18 27	0.034921566326331026 0.8423799582463466
21 18 27 18	0.05933129057434595 0.9206680584551148
21 18 27 27	0.049791098496157475 0.8653444676409185
21 18 27 30	0.05236234049890792 0.3747390396659708
21 18 27 52	0.14278696577697725 0.35177453027139877
21 18 27 83	0.060267309607088704 0.9206680584551148
21 18 27 92	0.03869335175097803 0.8580375782881002
21 18 27 110	0.002253889777519267 0.055323590814196244
21 18 30 95	0.002917657229306246 0.017745302713987474
21 18 33 98	0.008117338510381555 0.10647181628392484
21 18 34 30	0.008071025020177562 0.2035490605427975
21 18 45 110	0.01986277473351707 0.9498956158663883
21 18 56 84	0.019519317160826596 0.5887265135699373
21 18 77 12	0.05854041644850779 0.5908141962421712
21 18 77 20	0.10867536346101997 0.5229645093945721
21 18 83	0.053346900499838805 0.9478079331941545
21 18 83 18	0.0634456887070071 0.9446764091858038
21 18 83 27	0.028981843763540925 0.8653444676409185
21 18 83 83	0.06350259127515133 0.9446764091858038
21 18 83 92	0.029846040319303394 0.8653444676409185
21 18 85 1	0.0008123133160152647 0.13987473903966596
21 18 85 12	0.020326063942409486 0.7797494780793319
21 18 85 20	0.08966506973507131 0.9237995824634656
21 18 85 39	0.001564168968589019 0.6899791231732777
21 18 85 40	0.0015364485600658654 0.7505219206680585
21 18 85 57	0.0004087876150539336 0.1544885177453027
21 18 86 21	0.23810928964182554 0.9112734864300627
21 18 86 30	0.07410019097987366 0.3569937369519833
21 18 86 61	0.06867950557568583 0.7484342379958246
21 18 92	0.03252946933290487 0.8423799582463466
21 18 92 18	0.05325794977360501 0.9206680584551148
21 18 92 27	0.04854559962957069 0.884133611691023
21 18 92 52	0.14269424987783028 0.35177453027139877
21 18 92 83	0.05361138477453303 0.9206680584551148
21 18 92 92	0.03376901677042625 0.8538622129436325
21 18 95 21	0.08980071045818531 0.5553235908141962
21 18 95 27	8.386517833930174e-06 0.017745302713987474
21 18 95 30	0.05173369646806554 0.8757828810020877
21 18 95 52	0.0007514721984972253 0.15553235908141963
21 18 95 92	8.312278508727715e-06 0.016701461377870562
21 18 95 99	0.009483479285724074 0.5375782881002088
21 18 104 20	0.0910414312256977 0.5981210855949896
21 18 104 39	0.04601165360659031 0.3162839248434238
